model,corruption,severity,class,f1
frozen,motion_blur,1,Tomato___Early_blight,0.4316546762589928
frozen,motion_blur,1,Tomato___Late_blight,0.7633587786259542
frozen,motion_blur,1,Tomato___Leaf_Mold,0.7647058823529411
frozen,motion_blur,1,Tomato___Septoria_leaf_spot,0.7611940298507462
frozen,motion_blur,1,Tomato___Spider_mites_Two-spotted_spider_mite,0.7874015748031497
frozen,motion_blur,1,Tomato___Target_Spot,0.5301204819277109
frozen,motion_blur,1,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.8183556405353728
frozen,motion_blur,1,Tomato___Tomato_mosaic_virus,0.7142857142857143
frozen,motion_blur,1,Tomato___healthy,0.8531468531468531
finetune,motion_blur,2,Apple___Apple_scab,0.56
finetune,motion_blur,2,Apple___Black_rot,0.9583333333333334
finetune,motion_blur,2,Apple___Cedar_apple_rust,0.9523809523809523
finetune,motion_blur,2,Apple___healthy,0.8125
finetune,motion_blur,2,Blueberry___healthy,0.926829268292683
finetune,motion_blur,2,Cherry_(including_sour)___Powdery_mildew,0.865979381443299
finetune,motion_blur,2,Cherry_(including_sour)___healthy,0.9850746268656716
finetune,motion_blur,2,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.7096774193548387
finetune,motion_blur,2,Corn_(maize)___Common_rust_,0.9894736842105263
finetune,motion_blur,2,Corn_(maize)___Northern_Leaf_Blight,0.8666666666666667
finetune,motion_blur,2,Corn_(maize)___healthy,0.7076923076923077
finetune,motion_blur,2,Grape___Black_rot,0.9333333333333333
finetune,motion_blur,2,Grape___Esca_(Black_Measles),0.9724770642201835
finetune,motion_blur,2,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9397590361445783
finetune,motion_blur,2,Grape___healthy,0.64
finetune,motion_blur,2,Orange___Haunglongbing_(Citrus_greening),0.9605263157894737
finetune,motion_blur,2,Peach___Bacterial_spot,0.967741935483871
finetune,motion_blur,2,Peach___healthy,0.875
finetune,motion_blur,2,"Pepper,_bell___Bacterial_spot",0.9041095890410958
finetune,motion_blur,2,"Pepper,_bell___healthy",0.9090909090909091
finetune,motion_blur,2,Potato___Early_blight,0.3333333333333333
finetune,motion_blur,2,Potato___Late_blight,0.6666666666666666
finetune,motion_blur,2,Potato___healthy,0.2857142857142857
finetune,motion_blur,2,Raspberry___healthy,0.9285714285714286
finetune,motion_blur,2,Soybean___healthy,0.9675810473815462
finetune,motion_blur,2,Squash___Powdery_mildew,0.8412698412698413
finetune,motion_blur,2,Strawberry___Leaf_scorch,0.9438202247191011
finetune,motion_blur,2,Strawberry___healthy,0.56
finetune,motion_blur,2,Tomato___Bacterial_spot,0.7313432835820896
finetune,motion_blur,2,Tomato___Early_blight,0.5894736842105263
finetune,motion_blur,2,Tomato___Late_blight,0.7120418848167539
finetune,motion_blur,2,Tomato___Leaf_Mold,0.6440677966101694
finetune,motion_blur,2,Tomato___Septoria_leaf_spot,0.5742574257425742
finetune,motion_blur,2,Tomato___Spider_mites_Two-spotted_spider_mite,0.8780487804878049
finetune,motion_blur,2,Tomato___Target_Spot,0.8431372549019608
finetune,motion_blur,2,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9277899343544858
finetune,motion_blur,2,Tomato___Tomato_mosaic_virus,0.875
finetune,motion_blur,2,Tomato___healthy,0.72
frozen,motion_blur,2,Apple___Apple_scab,0.6
frozen,motion_blur,2,Apple___Black_rot,0.6111111111111112
frozen,motion_blur,2,Apple___Cedar_apple_rust,0.3076923076923077
frozen,motion_blur,2,Apple___healthy,0.7457627118644068
frozen,motion_blur,2,Blueberry___healthy,0.7727272727272727
frozen,motion_blur,2,Cherry_(including_sour)___Powdery_mildew,0.3791469194312796
frozen,motion_blur,2,Cherry_(including_sour)___healthy,0.8253968253968254
frozen,motion_blur,2,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.8292682926829268
frozen,motion_blur,2,Corn_(maize)___Common_rust_,0.8837209302325582
frozen,motion_blur,2,Corn_(maize)___Northern_Leaf_Blight,0.7692307692307693
frozen,motion_blur,2,Corn_(maize)___healthy,0.7419354838709677
frozen,motion_blur,2,Grape___Black_rot,0.19230769230769232
frozen,motion_blur,2,Grape___Esca_(Black_Measles),0.7323943661971831
frozen,motion_blur,2,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.08695652173913043
frozen,motion_blur,2,Grape___healthy,0.5833333333333334
frozen,motion_blur,2,Orange___Haunglongbing_(Citrus_greening),0.9200968523002422
frozen,motion_blur,2,Peach___Bacterial_spot,0.60431654676259
frozen,motion_blur,2,Peach___healthy,0.6153846153846154
frozen,motion_blur,2,"Pepper,_bell___Bacterial_spot",0.4126984126984127
frozen,motion_blur,2,"Pepper,_bell___healthy",0.6222222222222222
frozen,motion_blur,2,Potato___Early_blight,0.6984126984126984
frozen,motion_blur,2,Potato___Late_blight,0.6229508196721312
frozen,motion_blur,2,Potato___healthy,0.2857142857142857
frozen,motion_blur,2,Raspberry___healthy,0.7142857142857143
frozen,motion_blur,2,Soybean___healthy,0.8909952606635071
frozen,motion_blur,2,Squash___Powdery_mildew,0.6226415094339622
frozen,motion_blur,2,Strawberry___Leaf_scorch,0.7777777777777778
frozen,motion_blur,2,Strawberry___healthy,0.6
frozen,motion_blur,2,Tomato___Bacterial_spot,0.15053763440860216
frozen,motion_blur,2,Tomato___Early_blight,0.34146341463414637
frozen,motion_blur,2,Tomato___Late_blight,0.3418803418803419
frozen,motion_blur,2,Tomato___Leaf_Mold,0.43478260869565216
frozen,motion_blur,2,Tomato___Septoria_leaf_spot,0.20930232558139536
frozen,motion_blur,2,Tomato___Spider_mites_Two-spotted_spider_mite,0.39080459770114945
frozen,motion_blur,2,Tomato___Target_Spot,0.0
frozen,motion_blur,2,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.5745257452574526
frozen,motion_blur,2,Tomato___Tomato_mosaic_virus,0.5652173913043478
frozen,motion_blur,2,Tomato___healthy,0.6923076923076923
finetune,motion_blur,3,Apple___Apple_scab,0.3037974683544304
finetune,motion_blur,3,Apple___Black_rot,0.5294117647058824
finetune,motion_blur,3,Apple___Cedar_apple_rust,0.8421052631578947
finetune,motion_blur,3,Apple___healthy,0.5106382978723404
finetune,motion_blur,3,Blueberry___healthy,0.75
finetune,motion_blur,3,Cherry_(including_sour)___Powdery_mildew,0.6938775510204082
finetune,motion_blur,3,Cherry_(including_sour)___healthy,0.4186046511627907
finetune,motion_blur,3,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.3333333333333333
finetune,motion_blur,3,Corn_(maize)___Common_rust_,0.945054945054945
finetune,motion_blur,3,Corn_(maize)___Northern_Leaf_Blight,0.6178861788617886
finetune,motion_blur,3,Corn_(maize)___healthy,0.24468085106382978
finetune,motion_blur,3,Grape___Black_rot,0.4126984126984127
finetune,motion_blur,3,Grape___Esca_(Black_Measles),0.847457627118644
finetune,motion_blur,3,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.4
finetune,motion_blur,3,Grape___healthy,0.0
finetune,motion_blur,3,Orange___Haunglongbing_(Citrus_greening),0.836852207293666
finetune,motion_blur,3,Peach___Bacterial_spot,0.8837209302325582
finetune,motion_blur,3,Peach___healthy,0.7647058823529411
finetune,motion_blur,3,"Pepper,_bell___Bacterial_spot",0.509090909090909
finetune,motion_blur,3,"Pepper,_bell___healthy",0.21212121212121213
finetune,motion_blur,3,Potato___Early_blight,0.0
finetune,motion_blur,3,Potato___Late_blight,0.09523809523809523
finetune,motion_blur,3,Potato___healthy,0.0
finetune,motion_blur,3,Raspberry___healthy,0.3333333333333333
finetune,motion_blur,3,Soybean___healthy,0.7359050445103857
finetune,motion_blur,3,Squash___Powdery_mildew,0.23809523809523808
finetune,motion_blur,3,Strawberry___Leaf_scorch,0.7605633802816901
finetune,motion_blur,3,Strawberry___healthy,0.0
finetune,motion_blur,3,Tomato___Bacterial_spot,0.3269230769230769
finetune,motion_blur,3,Tomato___Early_blight,0.40476190476190477
finetune,motion_blur,3,Tomato___Late_blight,0.5307692307692308
finetune,motion_blur,3,Tomato___Leaf_Mold,0.5
finetune,motion_blur,3,Tomato___Septoria_leaf_spot,0.1518987341772152
finetune,motion_blur,3,Tomato___Spider_mites_Two-spotted_spider_mite,0.6796116504854369
finetune,motion_blur,3,Tomato___Target_Spot,0.3283582089552239
finetune,motion_blur,3,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.8323471400394478
finetune,motion_blur,3,Tomato___Tomato_mosaic_virus,0.6666666666666666
finetune,motion_blur,3,Tomato___healthy,0.0
frozen,motion_blur,3,Apple___Apple_scab,0.47619047619047616
frozen,motion_blur,3,Apple___Black_rot,0.20689655172413793
frozen,motion_blur,3,Apple___Cedar_apple_rust,0.2857142857142857
frozen,motion_blur,3,Apple___healthy,0.48
frozen,motion_blur,3,Blueberry___healthy,0.6811594202898551
frozen,motion_blur,3,Cherry_(including_sour)___Powdery_mildew,0.23170731707317074
frozen,motion_blur,3,Cherry_(including_sour)___healthy,0.4888888888888889
frozen,motion_blur,3,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.6486486486486487
frozen,motion_blur,3,Corn_(maize)___Common_rust_,0.4
frozen,motion_blur,3,Corn_(maize)___Northern_Leaf_Blight,0.5833333333333334
frozen,motion_blur,3,Corn_(maize)___healthy,0.3511450381679389
frozen,motion_blur,3,Grape___Black_rot,0.12
frozen,motion_blur,3,Grape___Esca_(Black_Measles),0.6423357664233577
frozen,motion_blur,3,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.23529411764705882
frozen,motion_blur,3,Grape___healthy,0.21052631578947367
frozen,motion_blur,3,Orange___Haunglongbing_(Citrus_greening),0.8405797101449275
frozen,motion_blur,3,Peach___Bacterial_spot,0.4888888888888889
frozen,motion_blur,3,Peach___healthy,0.42424242424242425
frozen,motion_blur,3,"Pepper,_bell___Bacterial_spot",0.04878048780487805
frozen,motion_blur,3,"Pepper,_bell___healthy",0.3055555555555556
frozen,motion_blur,3,Potato___Early_blight,0.39215686274509803
frozen,motion_blur,3,Potato___Late_blight,0.2
frozen,motion_blur,3,Potato___healthy,0.0
frozen,motion_blur,3,Raspberry___healthy,0.21052631578947367
frozen,motion_blur,3,Soybean___healthy,0.7252747252747253
frozen,motion_blur,3,Squash___Powdery_mildew,0.37777777777777777
frozen,motion_blur,3,Strawberry___Leaf_scorch,0.8
frozen,motion_blur,3,Strawberry___healthy,0.1
frozen,motion_blur,3,Tomato___Bacterial_spot,0.023255813953488372
frozen,motion_blur,3,Tomato___Early_blight,0.3
frozen,motion_blur,3,Tomato___Late_blight,0.29411764705882354
frozen,motion_blur,3,Tomato___Leaf_Mold,0.4050632911392405
frozen,motion_blur,3,Tomato___Septoria_leaf_spot,0.12987012987012986
frozen,motion_blur,3,Tomato___Spider_mites_Two-spotted_spider_mite,0.029411764705882353
frozen,motion_blur,3,Tomato___Target_Spot,0.0
frozen,motion_blur,3,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.5222929936305732
frozen,motion_blur,3,Tomato___Tomato_mosaic_virus,0.72
frozen,motion_blur,3,Tomato___healthy,0.08823529411764706
finetune,low_light,1,Apple___Apple_scab,0.9803921568627451
finetune,low_light,1,Apple___Black_rot,0.8620689655172413
finetune,low_light,1,Apple___Cedar_apple_rust,0.625
finetune,low_light,1,Apple___healthy,0.8907563025210085
finetune,low_light,1,Blueberry___healthy,0.9090909090909091
finetune,low_light,1,Cherry_(including_sour)___Powdery_mildew,1.0
finetune,low_light,1,Cherry_(including_sour)___healthy,0.9577464788732394
finetune,low_light,1,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.9230769230769231
finetune,low_light,1,Corn_(maize)___Common_rust_,0.9795918367346939
finetune,low_light,1,Corn_(maize)___Northern_Leaf_Blight,0.9382716049382716
finetune,low_light,1,Corn_(maize)___healthy,1.0
finetune,low_light,1,Grape___Black_rot,1.0
finetune,low_light,1,Grape___Esca_(Black_Measles),1.0
finetune,low_light,1,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0
finetune,low_light,1,Grape___healthy,1.0
finetune,low_light,1,Orange___Haunglongbing_(Citrus_greening),0.9977324263038548
finetune,low_light,1,Peach___Bacterial_spot,0.989247311827957
finetune,low_light,1,Peach___healthy,0.9230769230769231
finetune,low_light,1,"Pepper,_bell___Bacterial_spot",0.9195402298850575
finetune,low_light,1,"Pepper,_bell___healthy",0.9473684210526315
finetune,low_light,1,Potato___Early_blight,1.0
