model,corruption,severity,class,f1,clean_f1,f1_drop
finetune,low_light,2,Strawberry___healthy,0.3636363636363636,1.0,0.6363636363636365
frozen,motion_blur,3,Tomato___Late_blight,0.2941176470588235,0.9171974522292994,0.6230798051704759
finetune,low_light,3,Apple___Black_rot,0.3773584905660377,1.0,0.6226415094339623
frozen,motion_blur,3,Squash___Powdery_mildew,0.3777777777777777,0.9931972789115646,0.6154195011337869
finetune,motion_blur,3,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.3333333333333333,0.9473684210526316,0.6140350877192984
finetune,low_light,1,Tomato___Septoria_leaf_spot,0.3977591036414565,1.0,0.6022408963585435
frozen,low_light,2,Tomato___Tomato_mosaic_virus,0.3636363636363636,0.9655172413793104,0.6018808777429467
finetune,motion_blur,3,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.4,1.0,0.6
frozen,motion_blur,3,Corn_(maize)___Common_rust_,0.4,1.0,0.6
finetune,jpeg,3,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.3478260869565217,0.9473684210526316,0.5995423340961099
frozen,jpeg,3,Tomato___Bacterial_spot,0.3243243243243243,0.9230769230769232,0.598752598752599
frozen,motion_blur,2,Cherry_(including_sour)___Powdery_mildew,0.3791469194312796,0.975609756097561,0.5964628366662814
finetune,motion_blur,3,Tomato___Early_blight,0.4047619047619047,1.0,0.5952380952380953
frozen,low_light,3,Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,0.3551401869158878,0.9473684210526316,0.5922282341367439
finetune,motion_blur,3,Grape___Black_rot,0.4126984126984127,1.0,0.5873015873015873
frozen,motion_blur,3,Potato___Early_blight,0.392156862745098,0.975609756097561,0.583452893352463
finetune,low_light,1,Tomato___Bacterial_spot,0.411214953271028,0.9940828402366864,0.5828678869656583
finetune,motion_blur,3,Cherry_(including_sour)___healthy,0.4186046511627907,1.0,0.5813953488372092
frozen,low_light,3,Apple___healthy,0.3917525773195876,0.9692307692307692,0.5774781919111815
frozen,motion_blur,2,Tomato___Late_blight,0.3418803418803419,0.9171974522292994,0.5753171103489575
frozen,jpeg,3,Apple___Cedar_apple_rust,0.3809523809523809,0.9523809523809524,0.5714285714285716
finetune,jpeg,3,Tomato___Early_blight,0.4403669724770642,1.0,0.5596330275229358
frozen,low_light,2,Tomato___Late_blight,0.3636363636363636,0.9171974522292994,0.5535610885929358
frozen,low_light,2,Grape___Black_rot,0.4444444444444444,0.9894736842105264,0.545029239766082
finetune,low_light,2,Strawberry___Leaf_scorch,0.4559585492227979,1.0,0.5440414507772021
frozen,low_light,2,Apple___Apple_scab,0.4583333333333333,1.0,0.5416666666666667
frozen,low_light,2,Tomato___Leaf_Mold,0.3918918918918919,0.9315068493150684,0.5396149574231766
frozen,motion_blur,2,"Pepper,_bell___Bacterial_spot",0.4126984126984127,0.951219512195122,0.5385210994967093
frozen,motion_blur,2,Tomato___Spider_mites_Two-spotted_spider_mite,0.3908045977011494,0.927536231884058,0.5367316341829086
frozen,motion_blur,3,Tomato___Early_blight,0.3,0.8266666666666667,0.5266666666666666
frozen,motion_blur,3,Tomato___Leaf_Mold,0.4050632911392405,0.9315068493150684,0.526443558175828
frozen,jpeg,3,Tomato___Target_Spot,0.3636363636363636,0.8888888888888888,0.5252525252525253
frozen,motion_blur,3,Apple___Apple_scab,0.4761904761904761,1.0,0.523809523809524
frozen,low_light,1,Apple___Cedar_apple_rust,0.4285714285714285,0.9523809523809524,0.523809523809524
frozen,low_light,2,Cherry_(including_sour)___healthy,0.4888888888888889,1.0,0.5111111111111111
frozen,motion_blur,3,Cherry_(including_sour)___healthy,0.4888888888888889,1.0,0.5111111111111111
frozen,low_light,3,"Pepper,_bell___Bacterial_spot",0.4444444444444444,0.951219512195122,0.5067750677506776
finetune,low_light,2,Apple___Black_rot,0.4948453608247423,1.0,0.5051546391752577
finetune,jpeg,3,Tomato___Target_Spot,0.4952380952380952,1.0,0.5047619047619047
frozen,jpeg,3,Apple___Apple_scab,0.5,1.0,0.5
finetune,jpeg,3,Potato___healthy,0.5,1.0,0.5
finetune,motion_blur,3,Tomato___Leaf_Mold,0.5,1.0,0.5
finetune,low_light,1,Tomato___Late_blight,0.495049504950495,0.9934640522875816,0.4984145473370866
frozen,jpeg,3,Apple___healthy,0.4719101123595505,0.9692307692307692,0.49732065687121874
frozen,motion_blur,2,Tomato___Leaf_Mold,0.4347826086956521,0.9315068493150684,0.49672424061941634
finetune,motion_blur,3,"Pepper,_bell___Bacterial_spot",0.509090909090909,1.0,0.49090909090909096
finetune,motion_blur,3,Apple___healthy,0.5106382978723404,1.0,0.4893617021276596
frozen,motion_blur,3,Apple___healthy,0.48,0.9692307692307692,0.48923076923076925
frozen,motion_blur,2,Tomato___Early_blight,0.3414634146341463,0.8266666666666667,0.48520325203252035
frozen,motion_blur,3,Peach___Bacterial_spot,0.4888888888888889,0.972972972972973,0.48408408408408415
